[CV] k=10 fold=2
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4022E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4021E0', 'SC4031E0', 'SC4041E0', 'SC4241E0', 'SC4251E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F2] [E04] batch 0280 | loss=0.6526 | acc=0.820
[F2] [E04] batch 0290 | loss=0.6996 | acc=0.805
[F2] [E04] batch 0300 | loss=0.7313 | acc=0.754
[F2] [E04] batch 0310 | loss=0.6719 | acc=0.781
[F2] [E04] batch 0320 | loss=0.6787 | acc=0.789
[F2] [E04] batch 0330 | loss=0.6830 | acc=0.797
[F2] [E04] batch 0340 | loss=0.7139 | acc=0.770
[F2] [E04] batch 0350 | loss=0.7450 | acc=0.758
[F2] [E04] batch 0360 | loss=0.7386 | acc=0.762
[F2] [E04] batch 0370 | loss=0.6937 | acc=0.797
[F2] [E04] batch 0380 | loss=0.7180 | acc=0.773
[F2] [E04] batch 0390 | loss=0.7635 | acc=0.758
[F2] [E04] batch 0400 | loss=0.7135 | acc=0.770
[F2] [E04] batch 0410 | loss=0.7130 | acc=0.777
[F2] [E04] batch 0420 | loss=0.6792 | acc=0.805
[F2] [E04] batch 0430 | loss=0.6750 | acc=0.801
[F2] [E04] batch 0440 | loss=0.7798 | acc=0.770
[F2] [E04] batch 0450 | loss=0.6662 | acc=0.781
[F2] [E04] batch 0460 | loss=0.7305 | acc=0.812
[F2] [E04] batch 0470 | loss=0.7426 | acc=0.750
[F2] [E04] total_loss=346.090 | VAL acc=0.942 | F1=0.785 | kappa=0.864
[SAVE] best fold=2 (by VAL F1)
[F2] [E05] batch 0000 | loss=0.7365 | acc=0.801
[F2] [E05] batch 0010 | loss=0.6622 | acc=0.805
[F2] [E05] batch 0020 | loss=0.7507 | acc=0.758
[F2] [E05] batch 0030 | loss=0.7190 | acc=0.793
[F2] [E05] batch 0040 | loss=0.7378 | acc=0.754
[F2] [E05] batch 0050 | loss=0.7107 | acc=0.789
[F2] [E05] batch 0060 | loss=0.7685 | acc=0.777
[F2] [E05] batch 0070 | loss=0.6981 | acc=0.801
[F2] [E05] batch 0080 | loss=0.8060 | acc=0.754
[F2] [E05] batch 0090 | loss=0.6945 | acc=0.777
[F2] [E05] batch 0100 | loss=0.6820 | acc=0.789
[F2] [E05] batch 0110 | loss=0.6388 | acc=0.828
[F2] [E05] batch 0120 | loss=0.6966 | acc=0.797
[F2] [E05] batch 0130 | loss=0.6756 | acc=0.832
[F2] [E05] batch 0140 | loss=0.6959 | acc=0.781
[F2] [E05] batch 0150 | loss=0.7691 | acc=0.746
[F2] [E05] batch 0160 | loss=0.7524 | acc=0.742
[F2] [E05] batch 0170 | loss=0.7462 | acc=0.777
[F2] [E05] batch 0180 | loss=0.7037 | acc=0.797
[F2] [E05] batch 0190 | loss=0.6669 | acc=0.816
[F2] [E05] batch 0200 | loss=0.6814 | acc=0.777
[F2] [E05] batch 0210 | loss=0.6926 | acc=0.785
[F2] [E05] batch 0220 | loss=0.6646 | acc=0.812
[F2] [E05] batch 0230 | loss=0.7048 | acc=0.785
[F2] [E05] batch 0240 | loss=0.7039 | acc=0.793
[F2] [E05] batch 0250 | loss=0.7073 | acc=0.793
[F2] [E05] batch 0260 | loss=0.6689 | acc=0.824
[F2] [E05] batch 0270 | loss=0.7150 | acc=0.797
[F2] [E05] batch 0280 | loss=0.6462 | acc=0.836
[F2] [E05] batch 0290 | loss=0.7194 | acc=0.785
[F2] [E05] batch 0300 | loss=0.7276 | acc=0.746
[F2] [E05] batch 0310 | loss=0.7399 | acc=0.785
[F2] [E05] batch 0320 | loss=0.6834 | acc=0.816
[F2] [E05] batch 0330 | loss=0.7393 | acc=0.785
[F2] [E05] batch 0340 | loss=0.6980 | acc=0.777
[F2] [E05] batch 0350 | loss=0.6888 | acc=0.793
[F2] [E05] batch 0360 | loss=0.7406 | acc=0.793
[F2] [E05] batch 0370 | loss=0.7768 | acc=0.762
[F2] [E05] batch 0380 | loss=0.6971 | acc=0.793
[F2] [E05] batch 0390 | loss=0.6724 | acc=0.785
[F2] [E05] batch 0400 | loss=0.7249 | acc=0.781
[F2] [E05] batch 0410 | loss=0.7916 | acc=0.750
[F2] [E05] batch 0420 | loss=0.7086 | acc=0.766
[F2] [E05] batch 0430 | loss=0.7284 | acc=0.758
[F2] [E05] batch 0440 | loss=0.6664 | acc=0.785
[F2] [E05] batch 0450 | loss=0.6973 | acc=0.797
[F2] [E05] batch 0460 | loss=0.6865 | acc=0.793
[F2] [E05] batch 0470 | loss=0.6771 | acc=0.797
[F2] [E05] total_loss=340.452 | VAL acc=0.925 | F1=0.735 | kappa=0.826
[F2] [E06] batch 0000 | loss=0.6397 | acc=0.848
[F2] [E06] batch 0010 | loss=0.7286 | acc=0.754
[F2] [E06] batch 0020 | loss=0.6779 | acc=0.812
[F2] [E06] batch 0030 | loss=0.7595 | acc=0.750
[F2] [E06] batch 0040 | loss=0.7662 | acc=0.734
[F2] [E06] batch 0050 | loss=0.6861 | acc=0.812
[F2] [E06] batch 0060 | loss=0.6791 | acc=0.777
[F2] [E06] batch 0070 | loss=0.7421 | acc=0.785
[F2] [E06] batch 0080 | loss=0.6772 | acc=0.797
[F2] [E06] batch 0090 | loss=0.7715 | acc=0.734
[F2] [E06] batch 0100 | loss=0.6638 | acc=0.762
[F2] [E06] batch 0110 | loss=0.6438 | acc=0.809
[F2] [E06] batch 0120 | loss=0.7457 | acc=0.758
[F2] [E06] batch 0130 | loss=0.7087 | acc=0.773
