[INFO] Transformer | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
=== START TRAIN (Transformer) ===
[E02] b0870 | loss=0.6159 | acc=0.844
[E02] b0880 | loss=0.5181 | acc=0.875
[E02] b0890 | loss=0.5724 | acc=0.823
[E02] b0900 | loss=0.7173 | acc=0.792
[E02] b0910 | loss=0.6786 | acc=0.750
[E02] b0920 | loss=0.6694 | acc=0.802
[E02] b0930 | loss=0.5436 | acc=0.823
[E02] b0940 | loss=0.6802 | acc=0.802
[E02] b0950 | loss=0.5784 | acc=0.844
[E02] b0960 | loss=0.6660 | acc=0.792
[E02] b0970 | loss=0.7041 | acc=0.750
[E02] b0980 | loss=0.6871 | acc=0.750
[E02] b0990 | loss=0.6321 | acc=0.823
[E02] b1000 | loss=0.6316 | acc=0.802
[E02] b1010 | loss=0.6776 | acc=0.812
[E02] b1020 | loss=0.5859 | acc=0.844
[E02] b1030 | loss=0.5316 | acc=0.823
[E02] b1040 | loss=0.6178 | acc=0.833
[E02] b1050 | loss=0.6944 | acc=0.792
[E02] b1060 | loss=0.7005 | acc=0.760
[E02] b1070 | loss=0.6442 | acc=0.781
[E02] b1080 | loss=0.6392 | acc=0.802
[E02] b1090 | loss=0.6098 | acc=0.844
[E02] b1100 | loss=0.6643 | acc=0.760
[E02] b1110 | loss=0.6530 | acc=0.812
[E02] b1120 | loss=0.5475 | acc=0.844
[E02] b1130 | loss=0.6431 | acc=0.823
[E02] b1140 | loss=0.6299 | acc=0.823
[E02] b1150 | loss=0.5870 | acc=0.802
[E02] b1160 | loss=0.7101 | acc=0.771
[E02] b1170 | loss=0.6361 | acc=0.802
[E02] b1180 | loss=0.6763 | acc=0.771
[E02] b1190 | loss=0.6557 | acc=0.771
[E02] b1200 | loss=0.5666 | acc=0.844
[E02] b1210 | loss=0.5858 | acc=0.854
[E02] b1220 | loss=0.6152 | acc=0.802
[E02] b1230 | loss=0.5275 | acc=0.865
[E02] b1240 | loss=0.6514 | acc=0.781
[E02] b1250 | loss=0.6759 | acc=0.802
[E02] b1260 | loss=0.6178 | acc=0.823
[E02] b1270 | loss=0.6502 | acc=0.844
[E02] b1280 | loss=0.6729 | acc=0.792
[E02] b1290 | loss=0.6206 | acc=0.823
[E02] b1300 | loss=0.6080 | acc=0.812
[E02] b1310 | loss=0.5638 | acc=0.823
[E02] b1320 | loss=0.5536 | acc=0.854
[E02] b1330 | loss=0.5835 | acc=0.823
[E02] b1340 | loss=0.6398 | acc=0.844
[E02] b1350 | loss=0.5726 | acc=0.844
[E02] b1360 | loss=0.4942 | acc=0.854
