[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E02] b0690 | loss=0.5230 | acc=0.852
[E02] b0700 | loss=0.6388 | acc=0.812
[E02] b0710 | loss=0.6553 | acc=0.812
[E02] b0720 | loss=0.6970 | acc=0.781
[E02] b0730 | loss=0.5700 | acc=0.852
[E02] b0740 | loss=0.6219 | acc=0.844
[E02] b0750 | loss=0.7920 | acc=0.719
[E02] b0760 | loss=0.6975 | acc=0.758
[E02] b0770 | loss=0.5767 | acc=0.836
[E02] b0780 | loss=0.5806 | acc=0.828
[E02] b0790 | loss=0.6484 | acc=0.805
[E02] b0800 | loss=0.6031 | acc=0.797
[E02] b0810 | loss=0.5653 | acc=0.836
[E02] b0820 | loss=0.5645 | acc=0.859
[E02] b0830 | loss=0.4991 | acc=0.906
[E02] b0840 | loss=0.5995 | acc=0.844
[E02] b0850 | loss=0.5066 | acc=0.867
[E02] b0860 | loss=0.5865 | acc=0.859
[E02] b0870 | loss=0.6272 | acc=0.812
[E02] b0880 | loss=0.5072 | acc=0.883
[E02] b0890 | loss=0.6021 | acc=0.828
[E02] b0900 | loss=0.5829 | acc=0.820
[E02] b0910 | loss=0.6119 | acc=0.797
[E02] b0920 | loss=0.6588 | acc=0.773
[E02] b0930 | loss=0.6672 | acc=0.797
[E02] b0940 | loss=0.5700 | acc=0.836
[E02] b0950 | loss=0.6783 | acc=0.797
[E02] b0960 | loss=0.5984 | acc=0.820
[E02] b0970 | loss=0.6558 | acc=0.812
[E02] b0980 | loss=0.5878 | acc=0.797
[E02] b0990 | loss=0.5546 | acc=0.867
[E02] b1000 | loss=0.6413 | acc=0.812
[E02] b1010 | loss=0.6208 | acc=0.812
[E02] b1020 | loss=0.6429 | acc=0.836
[E02] total_loss=620.249 | VAL acc=0.896 | F1=0.733 | kappa=0.795
[SAVE] New best BiLSTM (by F1)
[E03] b0000 | loss=0.4759 | acc=0.883
[E03] b0010 | loss=0.6610 | acc=0.805
[E03] b0020 | loss=0.5408 | acc=0.875
[E03] b0030 | loss=0.5736 | acc=0.820
[E03] b0040 | loss=0.6019 | acc=0.836
[E03] b0050 | loss=0.5867 | acc=0.836
[E03] b0060 | loss=0.6151 | acc=0.820
[E03] b0070 | loss=0.5822 | acc=0.820
[E03] b0080 | loss=0.5114 | acc=0.852
[E03] b0090 | loss=0.6250 | acc=0.812
[E03] b0100 | loss=0.7811 | acc=0.781
[E03] b0110 | loss=0.5423 | acc=0.820
[E03] b0120 | loss=0.5547 | acc=0.883
[E03] b0130 | loss=0.7092 | acc=0.773
[E03] b0140 | loss=0.5144 | acc=0.836
[E03] b0150 | loss=0.5849 | acc=0.836
[E03] b0160 | loss=0.5750 | acc=0.836
[E03] b0170 | loss=0.5695 | acc=0.766
[E03] b0180 | loss=0.5810 | acc=0.844
[E03] b0190 | loss=0.7073 | acc=0.789
[E03] b0200 | loss=0.5531 | acc=0.867
[E03] b0210 | loss=0.5220 | acc=0.867
[E03] b0220 | loss=0.5733 | acc=0.836
[E03] b0230 | loss=0.5164 | acc=0.875
[E03] b0240 | loss=0.5552 | acc=0.820
[E03] b0250 | loss=0.4152 | acc=0.914
[E03] b0260 | loss=0.5986 | acc=0.820
[E03] b0270 | loss=0.5665 | acc=0.836
[E03] b0280 | loss=0.6139 | acc=0.836
[E03] b0290 | loss=0.5711 | acc=0.820
[E03] b0300 | loss=0.5616 | acc=0.844
[E03] b0310 | loss=0.5756 | acc=0.836
[E03] b0320 | loss=0.5703 | acc=0.828
[E03] b0330 | loss=0.5783 | acc=0.844
[E03] b0340 | loss=0.5704 | acc=0.852
[E03] b0350 | loss=0.5724 | acc=0.867
[E03] b0360 | loss=0.6855 | acc=0.789
[E03] b0370 | loss=0.6169 | acc=0.766
[E03] b0380 | loss=0.5457 | acc=0.828
[E03] b0390 | loss=0.5135 | acc=0.859
[E03] b0400 | loss=0.7868 | acc=0.758
[E03] b0410 | loss=0.5736 | acc=0.844
[E03] b0420 | loss=0.6013 | acc=0.844
[E03] b0430 | loss=0.4809 | acc=0.875
[E03] b0440 | loss=0.5199 | acc=0.883
[E03] b0450 | loss=0.7528 | acc=0.773
[E03] b0460 | loss=0.5469 | acc=0.859
[E03] b0470 | loss=0.5663 | acc=0.812
[E03] b0480 | loss=0.6705 | acc=0.773
[E03] b0490 | loss=0.6614 | acc=0.789
[E03] b0500 | loss=0.5924 | acc=0.836
[E03] b0510 | loss=0.7234 | acc=0.703
[E03] b0520 | loss=0.6324 | acc=0.820
[E03] b0530 | loss=0.5782 | acc=0.820
[E03] b0540 | loss=0.5512 | acc=0.859
[E03] b0550 | loss=0.5701 | acc=0.844
[E03] b0560 | loss=0.5703 | acc=0.812
[E03] b0570 | loss=0.6186 | acc=0.797
[E03] b0580 | loss=0.5612 | acc=0.828
[E03] b0590 | loss=0.6836 | acc=0.812
[E03] b0600 | loss=0.6536 | acc=0.836
[E03] b0610 | loss=0.5678 | acc=0.828
[E03] b0620 | loss=0.5574 | acc=0.844
